File,URL
0001_12step,http://www.youtube.com/watch?v=iBHNgV6_znU
0003_6foot7foot,http://www.youtube.com/watch?v=c7tOAGY59uQ
0004_abc,http://www.youtube.com/watch?v=ho7796-au8U
0005_again,http://www.youtube.com/watch?v=KbdCeWoEH1U
0006_aint2proud2beg,http://www.youtube.com/watch?v=XmH4_pr6mH0
0008_america,http://www.youtube.com/watch?v=5m-GUCSNxmc
0009_americanmusic,http://www.youtube.com/watch?v=I8KGHatrPWE
0010_andjusticeforall,https://www.youtube.com/watch?v=_fKAsvJrFes
0011_areyouexperienced,https://www.youtube.com/watch?v=XxHS9lTUN4Y
0012_aroundtheworld,https://www.youtube.com/watch?v=LKYPYj2XX80
0013_athingaboutyou,https://www.youtube.com/watch?v=IdcO-V1Iu1Q
0014_babaoriley,http://www.youtube.com/watch?v=x2KRpRMSu4g
0015_babygotback,https://www.youtube.com/watch?v=X53ZSxkQ3Ho
0017_badromance,http://www.youtube.com/watch?v=qrO4YZeyl0I
0018_bassdownlow,http://www.youtube.com/watch?v=OOAMfUJ3tsc
0020_becauseofyou,http://www.youtube.com/watch?v=atz_aZA3rf0
0021_better,http://www.youtube.com/watch?v=tVKtLfFD8Po
0022_betteroffalone,http://www.youtube.com/watch?v=Lgs9QUtWc3M
0023_bewareoftheboys,http://www.youtube.com/watch?v=DJztXj2GPfk
0024_billionaire,http://www.youtube.com/watch?v=8aRor905cCw
0026_blackandyellow,http://www.youtube.com/watch?v=UePtoxDhJSw
0027_blackened,http://www.youtube.com/watch?v=DU_ggFovJNo
0028_blackmagic,https://www.youtube.com/watch?v=lQYYRg99OUY
0030_bodymovin,http://www.youtube.com/watch?v=KUs-yeZJ-NE
0032_boomboompow,http://www.youtube.com/watch?v=k2QPJ2xGMiY
0035_boyfriend,http://www.youtube.com/watch?v=4GuqB1BQVr4
0036_breakingthegirl,http://www.youtube.com/watch?v=iyu04pqC8lE
0037_breakyourheart,https://www.youtube.com/watch?v=Lr4qBNYJmV8
0038_bringmetolife,http://www.youtube.com/watch?v=3YxaaGgTQYM
0039_bulletproof,http://www.youtube.com/watch?v=Kk8eJh4i8Lo
0040_bustamove,http://www.youtube.com/watch?v=tZQQGX24Teg
0041_calabria,http://www.youtube.com/watch?v=WL1hlzLsUaU
0042_callme,http://www.youtube.com/watch?v=WMKJV-fxBog
0043_callmemaybe,http://www.youtube.com/watch?v=fWNaR-rxAic
0044_cameraeye,http://www.youtube.com/watch?v=fjrHJhMHyIM
0045_cantgetyou,http://www.youtube.com/watch?v=YPwtJ89jes4
0046_castlesmadeofsand,https://www.youtube.com/watch?v=03lWKQtl9BU (backwards)
0047_chinacatsunflower,http://www.youtube.com/watch?v=xCgZxrf8nrU
0048_chingaling,http://www.youtube.com/watch?v=7VSxopicGpc
0049_closer,http://www.youtube.com/watch?v=z_aC5xPQ2f4
0050_clubcanthandleme,http://www.youtube.com/watch?v=SgM3r8xKfGE
0052_collector,http://www.youtube.com/watch?v=BTIWzR2pifc
0053_commander,http://www.youtube.com/watch?v=4_XBW9_ocsg
0054_conceited,http://www.youtube.com/watch?v=C2WjyuC3vPs
0055_constantmotion,http://www.youtube.com/watch?v=jbwBsAGCMLE
0056_control,http://www.youtube.com/watch?v=LH8xbDGv7oY
0057_crankthat,http://www.youtube.com/watch?v=ltrKRG1JkoM
0058_criticalacclaim,http://www.youtube.com/watch?v=UM9vgmOR9GU
0059_cupidshuffle,http://www.youtube.com/watch?v=xC8aTLQJUUU
0061_dabutt,http://www.youtube.com/watch?v=FShE0VifCYs
0062_dance,http://www.youtube.com/watch?v=tCnBrrnOefs
0063_daysgoby,http://www.youtube.com/watch?v=gLCduDJVksc
0065_deadandbloated,http://www.youtube.com/watch?v=MdCEPhNBnrM
0066_decentdaysandnights,http://www.youtube.com/watch?v=9PYgCN2kIsg
0067_deep,http://www.youtube.com/watch?v=moGF512_csU
0068_devilsisland,http://www.youtube.com/watch?v=rNqrKAyuA6M
0069_digginmedown,http://www.youtube.com/watch?v=nqAmREzj6nA
0070_dipitlow,http://www.youtube.com/watch?v=5z5Mvyp1QHw
0071_dirtypool,http://www.youtube.com/watch?v=RaQ99ZdvYkE
0072_discoinferno,http://www.youtube.com/watch?v=V7EfnYwpmOE
0073_disturbia,http://www.youtube.com/watch?v=E1mU6h4Xdxc
0074_djgotusfallininlove,http://www.youtube.com/watch?v=C-dvTjK_07c
0075_dontcha,http://www.youtube.com/watch?v=YNSxNsr4wmA
